BusID,RouteType,TimeStep,SoC,Voltage,Current,Temperature,CycleCount,AhThroughput,CalendarAge,Capacity,SoH,AvgDoD,Speed,Passengers,IsCharging,IsRegenerating
Bus-001,CITY_CENTER,120,0.8647601,358.03656,-104.87519,26.563007,0.39251378,322.20398,0.08333347,300.0,100.0,0.30736887,0.0,9,true,false
Bus-001,CITY_CENTER,121,0.8730934,358.238,-73.412636,26.561152,0.39251378,322.20398,0.084027916,300.0,100.0,0.30736887,0.0,9,true,false
Bus-001,CITY_CENTER,122,0.88142675,358.65466,-51.388844,26.5593,0.39251378,322.20398,0.08472236,300.0,100.0,0.30736887,15.0,8,false,false
Bus-001,CITY_CENTER,123,0.87543905,359.05634,54.079605,26.587486,0.3985015,327.20685,0.08541681,300.0,100.0,0.30736887,15.0,8,false,false
Bus-001,CITY_CENTER,124,0.869202,358.7563,131.73587,26.618273,0.40473855,332.42242,0.086111255,300.0,100.0,0.30736887,30.0,7,false,false
Bus-001,CITY_CENTER,125,0.8689559,358.45947,95.92253,26.616459,0.40498465,332.6284,0.0868057,300.0,100.0,0.30736887,30.0,7,false,false
Bus-001,CITY_CENTER,126,0.8680895,358.44562,80.198685,26.615229,0.4058511,333.35355,0.08750015,300.0,100.0,0.30736887,30.0,7,false,false
Bus-001,CITY_CENTER,127,0.86659753,358.40073,78.61804,26.615242,0.40734303,334.6024,0.088194594,300.0,100.0,0.30736887,30.0,6,false,false
Bus-001,CITY_CENTER,128,0.8645214,358.32465,86.32054,26.617014,0.40941918,336.3406,0.08888904,300.0,100.0,0.30736887,21.0,6,false,true
Bus-001,CITY_CENTER,129,0.86869997,358.23657,-2.5633278,26.629856,0.4135978,339.83994,0.08958349,300.0,100.0,0.3184181,21.0,6,false,true
Bus-001,CITY_CENTER,130,0.87287855,358.4455,-64.74532,26.64268,0.4177764,343.33722,0.09027793,300.0,100.0,0.32836238,0.0,5,true,false
Bus-001,CITY_CENTER,131,0.8812119,358.64392,-45.321724,26.640823,0.4177764,343.33722,0.09097238,300.0,100.0,0.32836238,0.0,5,true,false
Bus-001,CITY_CENTER,132,0.8895452,359.0606,-31.725206,26.638971,0.4177764,343.33722,0.091666825,300.0,100.0,0.32836238,15.0,5,false,false
Bus-001,CITY_CENTER,133,0.88150716,359.45715,97.792366,26.690456,0.42581448,350.00388,0.09236127,300.0,100.0,0.32836238,15.0,4,false,false
Bus-001,CITY_CENTER,134,0.8735827,359.05548,187.63425,26.7412,0.43373895,356.62497,0.09305572,300.0,100.0,0.32836238,30.0,4,false,false
Bus-001,CITY_CENTER,135,0.8706543,358.67178,175.43317,26.746521,0.43666738,359.07437,0.093750164,300.0,100.0,0.32836238,30.0,4,false,false
Bus-001,CITY_CENTER,136,0.8681582,358.52646,160.39774,26.749878,0.43916342,361.16296,0.09444461,300.0,100.0,0.32836238,30.0,4,false,false
Bus-001,CITY_CENTER,137,0.86619145,358.40295,141.91177,26.751255,0.44113022,362.80927,0.09513906,300.0,100.0,0.32836238,30.0,4,false,false
Bus-001,CITY_CENTER,138,0.86481786,358.30612,120.03924,26.75097,0.44250378,363.95932,0.0958335,300.0,100.0,0.32836238,21.0,4,false,true
Bus-001,CITY_CENTER,139,0.86896473,358.2513,21.52106,26.763573,0.44665062,367.4319,0.09652795,300.0,100.0,0.33699465,21.0,4,false,true
Bus-001,CITY_CENTER,140,0.8731116,358.45865,-47.405506,26.776155,0.45079747,370.90247,0.097222395,300.0,100.0,0.3447637,0.0,4,true,false
Bus-001,CITY_CENTER,141,0.88144493,358.65558,-33.183853,26.774282,0.45079747,370.90247,0.09791684,300.0,100.0,0.3447637,0.0,4,true,false
Bus-001,CITY_CENTER,142,0.88977826,359.07224,-23.228697,26.772413,0.45079747,370.90247,0.09861129,300.0,100.0,0.3447637,15.0,4,false,false
Bus-001,CITY_CENTER,143,0.8840974,359.4747,69.07712,26.79752,0.45647833,375.64343,0.099305734,300.0,100.0,0.3447637,15.0,4,false,false
Bus-001,CITY_CENTER,144,0.8785289,359.19092,132.06946,26.821606,0.4620468,380.29428,0.10000018,300.0,100.0,0.3447637,30.0,4,false,false
Bus-001,CITY_CENTER,145,0.88007826,358.93033,69.13854,26.821741,0.4635962,381.5893,0.10069463,300.0,100.0,0.3257812,30.0,4,false,false
Bus-001,CITY_CENTER,146,0.8815476,359.0076,26.29635,26.821676,0.4650655,382.8171,0.10138907,300.0,100.0,0.3078962,30.0,4,false,false
Bus-001,CITY_CENTER,147,0.88278705,359.0805,-0.23248482,26.821093,0.466305,383.85266,0.10208352,300.0,100.0,0.28950146,30.0,4,false,false
Bus-001,CITY_CENTER,148,0.88366115,359.14154,-13.3059225,26.819864,0.46717912,384.58282,0.102777965,300.0,100.0,0.26929253,21.0,4,false,true
Bus-001,CITY_CENTER,149,0.887808,359.19342,-71.65661,26.832394,0.47132596,388.0463,0.10347241,300.0,100.0,0.2838318,21.0,4,false,true
Bus-001,CITY_CENTER,150,0.8919549,359.4008,-112.46612,26.844906,0.4754728,391.50778,0.10416686,300.0,100.0,0.29691714,0.0,4,false,false
Bus-001,CITY_CENTER,151,0.8919549,359.59775,-78.72628,26.843037,0.4754728,391.50778,0.104861304,300.0,100.0,0.29691714,0.0,5,false,false
Bus-001,CITY_CENTER,152,0.8919549,359.59775,-55.108395,26.841171,0.4754728,391.50778,0.10555575,300.0,100.0,0.29691714,15.0,5,false,false
Bus-001,CITY_CENTER,153,0.8846277,359.5794,71.46045,26.884153,0.4828,397.6209,0.1062502,300.0,100.0,0.29691714,15.0,5,false,false
Bus-001,CITY_CENTER,154,0.87703633,359.21237,164.1425,26.930513,0.49039137,403.9609,0.10694464,300.0,100.0,0.29691714,30.0,6,false,false
Bus-001,CITY_CENTER,155,0.874073,358.84436,159.49239,26.935991,0.49335468,406.43826,0.10763909,300.0,100.0,0.29691714,30.0,6,false,false
Bus-001,CITY_CENTER,156,0.8708034,358.69543,160.86693,26.943079,0.49662426,409.17282,0.108333535,300.0,100.0,0.29691714,30.0,6,false,false
